Question number;ChatGPT;Gemini;Perplexity;Claude;Correct answers;Eksamenssæt
1;A;B;C;B;B;"""Maj 2020"""
2;C;C;A;A;A;
3;B;A;B;B;A;
4;A;A;A;A;A;
5;D;E;C;C;C;
6;B;C;B;B;B;
7;A;A;A;A;A;
8;E;E;E;E;E;
9;B;B;B;B;C;
10;B;B;B;A;B;
11;B;B;B;D;B;
12;C;D;C;D;D;
13;D;A;A;D;A;
14;D;D;D;D;D;
15;D;B;D;E;D;
16;A;A;D;A;A;
17;A;B;B;B;B;
18;A;B;A;D;A;
1;C;C;C;C;C;"""August 2019"""
2;B;B;B;B;A;
3;B;B;B;B;B;
4;B;A;C;C;C;
5;F;D;F;F;G;
6;B;B;B;B;D;
7;B;D;B;B;B;
8;A;A;A;E;A;
9;A+B+C;C;F;F;C;
10;C;C;C;C;C;
11;C;C;D;C;C;
12;B;B;H;B;B;
13;C+D;C+D;C+D+B;B+C+D+E;C+D;
14;C;B;C;B;B;
15;F;C;G;E;D;
16;E;E;E;E;E;
17;A;A;A;A;A;
18;B;B;C;D;B;
1;G;H;G;H;H;"""December 2024"""
2;F;F;F;F;F;
3;D+H;C+D+H;D+H;D+H;D+H;
4;E;E;E;E;G;
5;B;B;A;C;D;
6;G;G;G;G;G;
7;E+F;E+F;E+F;E+F;E+F;
8;E;E;E;E;E;
9;A+E;E;C;C;D;
10;A+D+F+H+J;B+D+F+G+I;B+G+I;D;B+C+F+G+J+L;
11;C;C;C;C;C;
12;A;A;A;E;A;
13;G;G;G;G;G;
14;A+D+F+G;A+D+F+G;A+D+F+G;A+D+F+G;A+D+F+G;
15;D;D;D;D;D;
16;D;D;D;D;D;
17;E;E;E;E;E;
18;C+E;C+E;C+E;C+E;C+E;
19;D;D;E;G;E;
20;A;A;A;C;C;
21;B;B+F;A+B+F+G;G;B+F;
22;E;A;A;A;E;
23;B;D;C;C;D;
24;A;B;A;C;B;
25;C+D+G;D+G;D+G;C;D+G;
26;A+F+H;A+F+H;B+D+H;B+D+H;C+E+G;
1;B;B;B;B;B;"""Maj 2019"""
2;C;C;C;C;C;
3;C;C;C;C;C;
4;B;B;C;B;B;
5;A;A;A;B;A;
6;F;F;F;F;F;
7;D;D;D;D;D;
8;C;C;C;C;C;
9;A;A;A;C;F;
10;C;C;C;C;C;
11;G;D;D;C;D;
12;A;A;A;A;A;
13;A;A;A;A;A;
14;G;G;G;C;G;
15;B;B;B;B;B;
16;C;C;C;C;C;
17;D;D;D;D;D;
18;A;D;A;A;D;
19;A;A;A;D;A;
1;H;D;H;H;H;"""Træningssæt december"""
2;C;C;C;C;C;
3;I;I;I;I;I;
4;E;E;E;E;F;
5;A+C+D;A+B+D;A+B+G;A+B+D+E;B+D+G;
6;C;C;C;C;C;
7;D+F+G+I;B+F+L;A+E+H+L;A+E+H+L;A+E+H+L;
8;D;D;D;D;D;
9;F;G;F;F;G;
10;H;C;H;J;H;
11;H;G;C;C;C;
12;D;D;D;D;D;
13;F;F;F;F;F;
14;B;B;B;A;B;
15;B+C+H;B+C+H;B+C+H;B+C+H;B+C+H;
16;B;B;I;B;B;
17;F;C;A;F;C;
18;A;A+D+E;A+D;A+E;A+D;
19;D;H;D;D;D;
20;B;C;G;G;B;
1;A;B;B;A;B;"""Maj 2017"""
2;A;A;B;B;B;
3;B;B;B;B;B;
4;D;D;F;D;D;
5;C;C;C;A;C;
6;A+E;A+E;A+E;A+E;A+E;
7;B;B;B;B;B;
8;C;C;C;E;C;
9;B;B;B;B;B;
10;B;B;B;B;B;
11;C;D;C;B;C;
12;A;A;A;A;A;
13;D;D;D;D;D;
14;A+B+C+F;A+B+D+G;A+B+D;A+B+D+G;A+B+D+G;
15;A+B+E+H;A+B+E+H;A+D+G+H;A+B+D;A+B+E+H;
1;B;B;B;B;B;"""August 2017"""
2;F;C;C+E;C;C+E;
3;D;D;D;D;D;
4;C;C;C;C;C;
5;A;A;A;A;A;
6;C+G;C+G;C+G;C+G;C+G;
7;A+D+H+K;A+D+H+K;A+D+H+K;A+D+H+K;A+D+H+L;
8;A;A;A;A;A;
9;D;B;D;B;D;
10;D;D;D;D;D;
11;B;C;B;B;A;
12;A;A;A;D;A;
13;A;A;A;A;A;
14;A;A;B;A;A+B;
15;A;A;E;C;D;
1;E;E;E;E;E;"""Prøvesæt 2024"""
2;G;G;G;G;G;
3;B;B;B;B;B;
4;C+I;F+I;C+I;F+I;F+J;
5;B;B;B;B;B;
6;C;B;C;C;B;
7;F;F;F;F;F;
8;C;B;H;B;D;
9;E;A;F;E;E;
10;E+F+G+H;D+G+H;G+H;H;D+G+H;
11;A;D;B;B;D;
12;E;E;B;E;E;
13;B;B+C;A;B+C;B+C;
14;H;H;H;H;G;
15;D;D;D;D;D;
16;F;F;F;F;F;
17;D;D;D;D;D;
18;B+D+E;B+D+E;A+D+F;B+D+F;B+D+F;
1;A;I;I;I;I;"""Maj 2024"""
2;B;B;A+C+E;B;B+C+E;
3;H;I;I;I;I;
4;D+E+F;C+D+E+F;C+D+E+F;C+D+E+F;C+D+E+F;
5;F;B;D;G;F;
6;B+D+F+G+H;B+D+G+H;B+E+F+G+H;B+D+E+F+G+H;B+D+F+H;
7;A+B+C;B+D+G;C+D+E+G;B+D+G;B+D+G;
8;C;C;C;C;C;
9;F;F;F;D;F;
10;E;D;E;E;E;
11;B;B;A;C;B;
12;C;B;C;C;C;
13;C;B+D;C;G;D;
14;A;A;A;A;A;
